76561198997383462~,~1.7535353899002075
76561198138892498~,~1.6953940391540527
4709~,~0.0
76561199076013082~,~1.396671175956726
76561198297861230~,~1.8419215679168701
15~,~2.1969544887542725
76561198271943341~,~1.7000000476837158
1208~,~0.0
76561198149619492~,~0.8027878999710083
1523~,~1.1475865840911865
76561199105118162~,~1.6785523891448975
1689~,~0.0
76561198275657289~,~1.4080029726028442
76561198379056879~,~1.746358871459961
4099~,~1.349278450012207
76561198085199925~,~1.604945421218872
76561198134718105~,~1.2012295722961426
76561199197065084~,~1.6436342000961304
76561198402728848~,~1.5010908842086792
3790~,~1.4999297857284546
76561199262546148~,~0.0
76561198105813719~,~1.9011751413345337
76561198017971164~,~1.6775758266448975
1206~,~0.0
76561199020243851~,~0.0
76561198879342564~,~0.0
76561199100396335~,~1.6467829942703247
76561198948043800~,~0.0
76561199015289808~,~1.808547019958496
76561198360112128~,~1.5077871084213257
609~,~1.749795913696289
76561198146252263~,~1.6777604818344116
76561199077043517~,~1.6892374753952026
2951~,~1.841639757156372
3684~,~0.0
1634~,~0.0
1079~,~0.0
4572~,~1.4305630922317505
1469~,~0.21477243304252625
76561199197339541~,~0.0
76561198809250894~,~0.0
975~,~0.0
3735~,~0.0
76561198003035723~,~1.7478973865509033
3041~,~0.0
4236~,~0.0
1505~,~1.5512455701828003
2848~,~0.0
2104~,~0.0
76561198189854117~,~1.3306862115859985
3926~,~0.4221629798412323
76561198799070584~,~0.0
76561199151638763~,~1.4825165271759033
76561198326592308~,~0.0
123~,~1.4429353475570679
76561198061611154~,~1.7351638078689575
76561198831546745~,~1.4538599252700806
1172~,~1.5592665672302246
76561199111386669~,~1.5073795318603516
1299~,~1.2140024900436401
3163~,~0.0
76561198044006022~,~1.6714277267456055
76561199029368657~,~0.8381451368331909
4428~,~0.0
1674~,~0.24433717131614685
76561198121584225~,~1.7446857690811157
2229~,~1.1926261186599731
76561198978287723~,~0.0
76561198086481046~,~1.5877174139022827
1231~,~0.0
58~,~0.9456583261489868
878~,~0.6257373094558716
1110~,~0.0
76561198173610694~,~0.4266914129257202
2137~,~1.8461679220199585
4034~,~1.6672674417495728
76561199223926808~,~1.156350016593933
3409~,~0.0
2080~,~0.0
76561199117072337~,~0.0
2272~,~0.0
2631~,~0.0
620~,~0.0
1641~,~0.0
3996~,~1.5038478374481201
76561199132546673~,~0.0
1379~,~1.6589211225509644
24~,~1.6313703060150146
76561199013313263~,~0.0
3585~,~0.0
182~,~0.0
112~,~1.746056079864502
2494~,~1.3201993703842163
1357~,~1.5861903429031372
1366~,~0.0
2849~,~0.0
1528~,~0.0
76561199081984027~,~0.05867371708154678
871~,~1.6767816543579102
4202~,~0.9681984186172485
805~,~1.6360007524490356
76561198960449289~,~1.9002987146377563
1538~,~0.0
76561199172941858~,~1.7750881910324097
3732~,~1.1907731294631958
1123~,~0.0
795~,~1.8291810750961304
3660~,~2.333235740661621
1585~,~0.0
4500~,~0.0
2995~,~0.0
76561198288555605~,~0.0
76561198314432396~,~1.3985458612442017
76561198351485033~,~0.0
